audio_id	annotators	worst_score	Top-level (general_label_type)	Top-level (not including correct)	Top-level (not including correct, run-on, or contractions)	CORRECT+RUNONs+CONTRACTIONs	Phonological specifics combined	Orthographic specifics combined	Grammatical specifics combined	Structural specifics combined	Visual specifics combined	Disfluency specifics combined	All specifics combined	Intended word	Produced word	Mispronunciation IPA	Individual Top: Correct	Individual Top: Phonological Error	Individual Top: Orthographic Error	Individual Top: Grammatical Error	Individual Top: Structural Error	Individual Top: Visual Tracking Error	Individual Top: Disfluency Error	Individual Top: Whispering	Individual Top: Run-on	Individual Top: Contraction/Shortening	Individual Top: Unintelligible	Individual Top: Self Response	Individual Top: Other	Individual Phono Spec: Consonant Substitution	Individual Phono Spec: Vowel Substitution	Individual Phono Spec: Consonant Omission	Individual Phono Spec: Vowel Omission	Individual Phono Spec: Consonant Insertion	Individual Phono Spec: Vowel Insertion	Individual Phono Spec: Misplaced Stress	Individual Ortho Spec: Letter Reversal	Individual Ortho Spec: Left Right Tracking Substitution	Individual Ortho Spec: Phonological Substitution	Individual Ortho Spec: Contextual Substitution	Individual Ortho Spec: Unrelated Substitution	Individual Gram Spec: Omission	Individual Gram Spec: Substitution	Individual Gram Spec: Insertion	Individual Struct Spec: Word Omission	Individual Struct Spec: Word Insertion	Individual Visual Spec: Skip Line	Individual Visual Spec: Backtrack	Individual Visual Spec: Wrong Order	Individual Disfluency Spec: Stutter	Individual Disfluency Spec: Word Repetition	Individual Disfluency Spec: Repair	Individual Disfluency Spec: Broken Word	Individual Disfluency Spec: Prolongation	Individual Disfluency Spec: Interjection	Individual Disfluency Spec: Parent Correction	Individual Disfluency Spec: Parental Aid
https://2025storiza.michaelbennie.org/audio_clips/64.8_end_70.1_uid_1w0NU0CL8KMbltxDo7mrkTKhgpD2_sid_rRZvUWqkJ1hLNL8pytmJ_1741561799.mp3	claire.kuntz,rose.m	-0.517655	0.558523	0.222157	0.224914	0.999987	0.730351	NaN	-0.176149	NaN	NaN	1.000000	0.279500	0.999993	-0.021695	0.727904	0.999988	1.000000	0.475945	-0.517655	NaN	NaN	1.000000	NaN	NaN	NaN	NaN	NaN	NaN	0.560757	0.556327	0.541168	0.558206	-0.031660	-0.060751	NaN	NaN	NaN	NaN	NaN	NaN	-0.029780	-0.103635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/90.1_end_115.0_uid_EOwDjm2STZfXSXQJzWXadFRGRzn1_sid_WEYdsWeS5fhAJrS4XVw0_1743029787.mp3	lamanjennifer,rose.m	-0.477256	0.540734	0.180800	0.199570	0.852047	0.292747	NaN	0.960769	NaN	NaN	0.107742	0.142777	0.819029	0.428971	0.211245	0.856464	0.284673	-0.031106	0.964514	NaN	NaN	0.093302	0.300634	NaN	NaN	NaN	NaN	NaN	NaN	0.586055	0.492666	0.621972	NaN	-0.080353	NaN	NaN	NaN	NaN	NaN	NaN	0.959110	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.477256	0.400885	0.081477	0.377691	0.598319	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/55.9_end_60.3_uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_zNwobTQRQ5zMd2Rabg7s_1743380602.mp3	claire.kuntz,evanhalperin	-0.472260	0.449098	-0.057103	-0.066111	0.605765	-0.087699	NaN	NaN	NaN	NaN	-0.307569	0.100448	1.000000	NaN	-0.152911	0.690099	-0.239253	NaN	NaN	NaN	NaN	-0.472260	NaN	-0.093913	NaN	NaN	NaN	NaN	-0.008687	NaN	NaN	NaN	-0.128710	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.166859	NaN	NaN	NaN	NaN	-0.017701	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/99.5_end_110.2_uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.mp3	evanhalperin,rose.m	-0.429545	0.556915	0.491894	0.475275	-0.013079	-0.157820	NaN	NaN	NaN	NaN	0.632337	0.506743	0.644528	NaN	-0.091945	0.000000	-0.257431	NaN	NaN	NaN	NaN	0.753400	NaN	NaN	NaN	NaN	NaN	NaN	-0.016337	NaN	-0.429545	-0.284105	NaN	-0.077943	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.127133	NaN	NaN	NaN	0.534207	-0.029321	-0.313871	1.000000
https://2025storiza.michaelbennie.org/audio_clips/76.1_end_83.1_uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_rLPnR4znaTm5MBeGpUC3_1743543079.mp3	claire.kuntz,rose.m	-0.420838	0.678589	-0.297289	-0.301217	0.999952	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.999973	NaN	NaN	0.999953	NaN	NaN	NaN	NaN	NaN	-0.420838	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/24.8_end_30.0_uid_ihIoefKsGwTDai7fGs9x3DyNvju2_sid_rBoEZIAOq8OfRMrXzXC8_1743076731.mp3	claire.kuntz,evanhalperin	-0.416897	0.712471	0.499519	0.296599	0.669658	0.651808	NaN	NaN	NaN	NaN	-0.408541	0.314350	0.991173	0.987903	0.637030	0.597336	0.632845	0.989143	NaN	NaN	NaN	-0.376337	NaN	0.972005	NaN	NaN	NaN	NaN	0.988660	0.989189	-0.018578	NaN	0.987382	0.988641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.416897	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/5.9_end_12.1_uid_bKduvdIsrbbqPZ7Z3lCfQlF8WBn1_sid_wwG35krhLTSpRDz3nlEz_1741905388.mp3	claire.kuntz,emilianapulido	-0.402784	0.532153	0.268434	0.219366	0.350785	0.006822	NaN	-0.104185	NaN	NaN	NaN	0.034123	0.999872	0.253544	0.315790	0.529602	0.542934	1.000000	-0.030641	NaN	NaN	-0.106434	NaN	-0.299879	NaN	NaN	NaN	NaN	NaN	1.000000	-0.038455	-0.068217	-0.402784	-0.052431	NaN	NaN	NaN	NaN	NaN	NaN	-0.116043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/150.1_end_165.6_uid_IGe7nmfoeKQG1oyWJEMIv6KIP5Q2_sid_OJ3hCvb3pokTxqbvhJuh_1742508917.mp3	emilianapulido,rose.m	-0.391794	0.847364	0.406697	0.441910	0.994970	0.999976	NaN	NaN	NaN	NaN	NaN	0.999974	0.997933	0.999976	0.999976	0.994797	0.999975	0.999974	NaN	NaN	NaN	-0.391794	NaN	NaN	NaN	NaN	NaN	NaN	0.999975	0.999976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/18.1_end_24.8_uid_u2hytH2KWIS6ewdShfEZisygqIo2_sid_JWzwJL0aqbRtvTCiTdCm_1743194311.mp3	claire.kuntz,rose.m	-0.389008	0.645490	0.158979	0.244750	0.594285	-0.109641	NaN	-0.014166	NaN	NaN	1.000000	0.416955	0.999843	-0.121191	-0.148841	0.691308	-0.389008	NaN	-0.046362	NaN	NaN	0.605168	1.000000	0.000000	NaN	NaN	NaN	NaN	-0.011802	NaN	-0.022815	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.071404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/38.4_end_51.1_uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830.mp3	emilianapulido,rose.m	-0.379187	0.610152	0.036252	0.000232	0.725899	NaN	NaN	NaN	NaN	NaN	-0.287956	-0.379187	0.892478	NaN	NaN	0.741877	NaN	NaN	NaN	NaN	NaN	0.027695	-0.126373	NaN	NaN	-0.135295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.102144	-0.136417	NaN	NaN	NaN
