audio_id	uid	total_duration
195798302	mHWscHBXcoabM7fdw88AliGuPWw1	4.926869401444719
195798303	mHWscHBXcoabM7fdw88AliGuPWw1	11.963324104071262
195798304	WU2CHNrkg8hTa41RUFdbv0AtTC42	6.946880544849996
195798305	WU2CHNrkg8hTa41RUFdbv0AtTC42	3.5758561195127765
195798306	WU2CHNrkg8hTa41RUFdbv0AtTC42	3.9459181644612293
195798307	WU2CHNrkg8hTa41RUFdbv0AtTC42	11.236891793417382
195798308	WU2CHNrkg8hTa41RUFdbv0AtTC42	6.770649890105435
195798309	WU2CHNrkg8hTa41RUFdbv0AtTC42	6.976199057875867
195798310	WU2CHNrkg8hTa41RUFdbv0AtTC42	11.440893963261665
195798311	WU2CHNrkg8hTa41RUFdbv0AtTC42	7.108660441705176
195798312	WU2CHNrkg8hTa41RUFdbv0AtTC42	17.92541053058318
195798313	4w6SC0KmlKV4YmJTalgWiZalQHi2	25.943143906280298
195798314	4w6SC0KmlKV4YmJTalgWiZalQHi2	16.24332340270536
195798315	4w6SC0KmlKV4YmJTalgWiZalQHi2	9.901357213028035
195798316	4w6SC0KmlKV4YmJTalgWiZalQHi2	25.360436786820834
195798317	4w6SC0KmlKV4YmJTalgWiZalQHi2	17.093243491686806
195798318	4w6SC0KmlKV4YmJTalgWiZalQHi2	29.931193867422778
195798319	4w6SC0KmlKV4YmJTalgWiZalQHi2	29.26651571736224
195798320	4w6SC0KmlKV4YmJTalgWiZalQHi2	29.830016437991276
195798321	4w6SC0KmlKV4YmJTalgWiZalQHi2	22.356173437114336
195798322	4w6SC0KmlKV4YmJTalgWiZalQHi2	28.89415336546594
195798323	4w6SC0KmlKV4YmJTalgWiZalQHi2	11.336233850256576
195798324	tHP0GvI5hccNGBzYfgE2pkEHXiW2	3.7138564195230996
195798325	tHP0GvI5hccNGBzYfgE2pkEHXiW2	9.57162258124364
195798326	tHP0GvI5hccNGBzYfgE2pkEHXiW2	5.886353124506584
195798327	tHP0GvI5hccNGBzYfgE2pkEHXiW2	3.651330505216098
195798328	tHP0GvI5hccNGBzYfgE2pkEHXiW2	4.4545499137440245
195798329	tHP0GvI5hccNGBzYfgE2pkEHXiW2	4.359715831830336
195798330	tHP0GvI5hccNGBzYfgE2pkEHXiW2	5.930270909294741
195798331	tHP0GvI5hccNGBzYfgE2pkEHXiW2	3.495196363636367
195798332	tHP0GvI5hccNGBzYfgE2pkEHXiW2	4.144666542473921
195798333	tHP0GvI5hccNGBzYfgE2pkEHXiW2	6.644539691505209
195798334	tHP0GvI5hccNGBzYfgE2pkEHXiW2	2.4099629925484294
195798335	tHP0GvI5hccNGBzYfgE2pkEHXiW2	1.9081662878236472
195798336	tHP0GvI5hccNGBzYfgE2pkEHXiW2	6.721057648893122
195798337	tHP0GvI5hccNGBzYfgE2pkEHXiW2	6.979351516538273
195798338	4w6SC0KmlKV4YmJTalgWiZalQHi2	6.842631851373837
195798339	4w6SC0KmlKV4YmJTalgWiZalQHi2	3.197736884858984
195798340	4w6SC0KmlKV4YmJTalgWiZalQHi2	4.037412941132374
195798341	4w6SC0KmlKV4YmJTalgWiZalQHi2	3.3031999602951103
195798342	4w6SC0KmlKV4YmJTalgWiZalQHi2	3.4151215891890097
195798343	4w6SC0KmlKV4YmJTalgWiZalQHi2	13.382773931084795
195798344	4w6SC0KmlKV4YmJTalgWiZalQHi2	5.226554071744722
195798345	4w6SC0KmlKV4YmJTalgWiZalQHi2	8.78807544119708
195798346	4w6SC0KmlKV4YmJTalgWiZalQHi2	10.739642155826537
195798347	4w6SC0KmlKV4YmJTalgWiZalQHi2	8.32669778387833
195798348	4w6SC0KmlKV4YmJTalgWiZalQHi2	11.430211262258652
195798349	4w6SC0KmlKV4YmJTalgWiZalQHi2	4.921237472318623
