audio_id	uid	earliest_start	latest_end	story_length	n_utterances
195798231	TzE1wYChYkTUAVNeVtZjXuO8cBi2	3.451260589888985	17.41272400452313	13.961463414634146	1
195798232	TzE1wYChYkTUAVNeVtZjXuO8cBi2	22.961278024268108	38.532497536463225	15.571219512195118	1
195798233	TzE1wYChYkTUAVNeVtZjXuO8cBi2	41.532887631362456	54.857971972825865	13.325084341463409	1
195798234	TzE1wYChYkTUAVNeVtZjXuO8cBi2	56.56887735695949	78.68643833256925	22.117560975609763	1
195798235	TzE1wYChYkTUAVNeVtZjXuO8cBi2	79.49110608317203	97.18902308317205	17.697917000000018	1
195798236	TzE1wYChYkTUAVNeVtZjXuO8cBi2	99.63860672152786	109.85372867274737	10.215121951219501	1
195798237	ukKF4sCANzgmD16fyjMyO7VwR2A2	0.2656951219512195	1.995591463414634	1.7298963414634143	1
195798238	ukKF4sCANzgmD16fyjMyO7VwR2A2	1.9957565527185728	8.720741217592689	6.724984664874116	1
195798239	ukKF4sCANzgmD16fyjMyO7VwR2A2	8.707716460218816	16.247250748944364	7.539534288725548	1
195798240	ukKF4sCANzgmD16fyjMyO7VwR2A2	16.646511832525704	24.87415085210077	8.227639019575065	1
195798241	ukKF4sCANzgmD16fyjMyO7VwR2A2	25.40082459103635	29.48928354191668	4.08845895088033	1
195798242	ukKF4sCANzgmD16fyjMyO7VwR2A2	29.944839744696196	36.3061459055307	6.361306160834502	1
195798243	ukKF4sCANzgmD16fyjMyO7VwR2A2	37.99823365015918	47.3246205410432	9.326386890884024	1
195798244	ukKF4sCANzgmD16fyjMyO7VwR2A2	47.9773974418252	53.454641997831416	5.4772445560062195	1
195798245	ukKF4sCANzgmD16fyjMyO7VwR2A2	54.019274155190715	61.087701580723895	7.06842742553318	1
195798246	ukKF4sCANzgmD16fyjMyO7VwR2A2	61.08274971817442	71.39878045826919	10.316030740094767	1
195798247	ukKF4sCANzgmD16fyjMyO7VwR2A2	71.4872643557709	87.92313761397831	16.43587325820741	1
195798248	ukKF4sCANzgmD16fyjMyO7VwR2A2	88.45872318990713	92.95973067693916	4.501007487032027	1
195798249	ukKF4sCANzgmD16fyjMyO7VwR2A2	94.98622308655553	96.31983388633748	1.333610799781951	1
195798250	ukKF4sCANzgmD16fyjMyO7VwR2A2	96.6482665791055	105.2913645157021	8.643097936596604	1
195798251	ukKF4sCANzgmD16fyjMyO7VwR2A2	105.30635633712843	108.74601724230116	3.4396609051727296	1
195798252	ukKF4sCANzgmD16fyjMyO7VwR2A2	108.7381678376502	114.19940255915353	5.461234721503331	1
195798253	ukKF4sCANzgmD16fyjMyO7VwR2A2	114.25430945587182	121.73130246816244	7.47699301229062	1
195798254	gUfM3yODstSdwltidtEzSlIo0q93	1.805572987306553	88.39784257743499	86.59226959012844	1
195798255	gUfM3yODstSdwltidtEzSlIo0q93	89.91600288503561	116.99278365701772	27.076780771982115	1
195798256	gUfM3yODstSdwltidtEzSlIo0q93	127.39956983258102	174.14001992340803	46.74045009082701	1
195798257	tHP0GvI5hccNGBzYfgE2pkEHXiW2	0.364605139990186	6.418511108567208	6.0539059685770225	1
195798258	tHP0GvI5hccNGBzYfgE2pkEHXiW2	7.3183090307582415	22.362574446445542	15.0442654156873	1
195798259	tHP0GvI5hccNGBzYfgE2pkEHXiW2	24.797262164466265	37.80909038165339	13.011828217187126	1
195798260	tHP0GvI5hccNGBzYfgE2pkEHXiW2	39.17911427640387	51.18051570543673	12.00140142903286	1
195798261	tHP0GvI5hccNGBzYfgE2pkEHXiW2	52.50030202019556	56.317074564095414	3.8167725438998517	1
195798262	tHP0GvI5hccNGBzYfgE2pkEHXiW2	57.73725897053766	73.55768757159599	15.820428601058332	1
195798263	tHP0GvI5hccNGBzYfgE2pkEHXiW2	74.91357191863179	79.46529423978419	4.551722321152397	1
195798264	tHP0GvI5hccNGBzYfgE2pkEHXiW2	80.37611187791308	87.50105922991797	7.124947352004895	1
195798265	tHP0GvI5hccNGBzYfgE2pkEHXiW2	88.70470690274641	212.0316601903449	123.32695328759849	1
195798266	H7rAk5StNLc0VysmHcZQZTQFpBx2	1.5760226229868448	6.015180746218194	4.4391581232313495	1
195798267	H7rAk5StNLc0VysmHcZQZTQFpBx2	6.076182780540163	12.526627725285174	6.45044494474501	1
195798268	H7rAk5StNLc0VysmHcZQZTQFpBx2	12.580312257498177	16.922108256514697	4.3417959990165205	1
195798269	H7rAk5StNLc0VysmHcZQZTQFpBx2	16.8893614702658	21.943385477655273	5.054024007389472	1
195798270	H7rAk5StNLc0VysmHcZQZTQFpBx2	21.997322788315063	28.700746981403213	6.70342419308815	1
195798271	H7rAk5StNLc0VysmHcZQZTQFpBx2	28.852323153881	34.73652261486179	5.884199460980792	1
195798272	H7rAk5StNLc0VysmHcZQZTQFpBx2	34.98648727183669	47.917419529436046	12.930932257599359	1
195798273	XmxSYUZAj4dRqSczt2clQkDf31M2	0.0124861696918446	6.0909210200871895	6.078434850395345	1
195798274	XmxSYUZAj4dRqSczt2clQkDf31M2	5.468468238937833	13.07492688163553	7.606458642697698	1
195798275	XmxSYUZAj4dRqSczt2clQkDf31M2	13.050515083585928	24.3193733241308	11.268858240544873	1
195798276	XmxSYUZAj4dRqSczt2clQkDf31M2	26.19833376339841	42.69575946197861	16.4974256985802	1
195798277	XmxSYUZAj4dRqSczt2clQkDf31M2	44.597019469524085	67.29349421913737	22.696474749613287	1
195798278	XmxSYUZAj4dRqSczt2clQkDf31M2	67.51086369277692	74.08594024478452	6.5750765520076015	1
